date,stage,group,home,away,home_goals,away_goals,venue,neutral,home_rating_before,away_rating_before,points
2026-06-11,group,A,KR,CZ,2,1,MX,True,1758,1740,28
2026-06-11,group,A,MX,ZA,2,0,,False,1875,1518,6
2026-06-12,group,B,CA,BA,1,1,,False,1788,1594,-21
2026-06-12,group,D,US,PY,4,1,,False,1726,1833,54
2026-06-13,group,D,AU,TR,2,0,CA,True,1777,1910,61
2026-06-13,group,C,BR,MA,1,1,US,True,1991,1827,-13
2026-06-13,group,B,QA,CH,1,1,US,True,1421,1891,26
2026-06-13,group,C,SQ,HT,1,0,US,True,1782,1548,12
2026-06-14,group,E,CI,EC,1,0,US,True,1696,1938,48
2026-06-14,group,E,DE,CW,7,1,US,True,1932,1434,7
2026-06-14,group,F,JP,NL,2,2,US,True,1906,1947,4
2026-06-14,group,F,SE,TN,5,1,MX,True,1712,1628,43
2026-06-15,group,G,BE,EG,1,1,US,True,1893,1696,-15
2026-06-15,group,H,CV,ES,0,0,US,True,1578,2157,28
2026-06-15,group,G,IR,NZ,2,2,US,True,1772,1562,-16
2026-06-15,group,H,SA,UY,1,1,US,True,1576,1892,22
2026-06-16,group,J,AR,DZ,3,0,US,True,2115,1772,13
2026-06-16,group,J,AT,JO,3,1,US,True,1830,1680,27
2026-06-16,group,I,FR,SN,3,1,US,True,2064,1860,21
2026-06-16,group,I,NO,IQ,4,1,US,True,1914,1607,15
2026-06-17,group,K,CD,PT,1,1,US,True,1652,1989,22
2026-06-17,group,K,CO,UZ,3,1,MX,True,1982,1714,16
2026-06-17,group,L,EN,HR,4,2,US,True,2024,1911,31
2026-06-17,group,L,GH,PA,1,0,CA,True,1511,1730,47
2026-06-18,group,B,CA,QA,6,0,,False,1767,1447,10
2026-06-18,group,B,CH,BA,4,1,US,True,1865,1615,20
2026-06-18,group,A,CZ,ZA,1,1,US,True,1712,1512,-16
2026-06-18,group,A,MX,KR,1,0,,False,1881,1786,15
2026-06-19,group,C,BR,HT,3,0,US,True,1978,1536,8
2026-06-19,group,C,MA,SQ,1,0,US,True,1840,1794,26
2026-06-19,group,D,PY,TR,1,0,US,True,1779,1849,36
2026-06-19,group,D,US,AU,2,0,,False,1780,1838,40
2026-06-20,group,E,CW,EC,0,0,US,True,1427,1890,26
2026-06-20,group,E,DE,CI,2,1,CA,True,1939,1744,15
2026-06-20,group,F,JP,TN,4,0,MX,True,1910,1585,15
2026-06-20,group,F,NL,SE,5,1,US,True,1943,1755,28
2026-06-21,group,G,BE,IR,0,0,US,True,1878,1756,-10
2026-06-21,group,H,CV,UY,2,2,US,True,1606,1870,19
2026-06-21,group,G,EG,NZ,3,1,CA,True,1711,1578,29
2026-06-21,group,H,ES,SA,4,0,US,True,2129,1598,5
2026-06-22,group,J,AR,AT,2,0,US,True,2128,1857,16
2026-06-22,group,J,DZ,JO,2,1,US,True,1759,1653,21
2026-06-22,group,I,FR,IQ,3,0,US,True,2085,1592,6
2026-06-22,group,I,NO,SN,3,2,US,True,1929,1839,22
2026-06-23,group,K,CO,CD,1,0,MX,True,1998,1674,8
2026-06-23,group,L,EN,GH,0,0,US,True,2055,1558,-27
2026-06-23,group,L,HR,PA,1,0,CA,True,1880,1683,15
2026-06-23,group,K,PT,UZ,5,0,US,True,1967,1698,21
2026-06-24,group,B,BA,QA,3,1,US,True,1595,1437,26
2026-06-24,group,C,BR,SQ,3,0,US,True,1986,1768,23
2026-06-24,group,B,CA,CH,1,2,,False,1777,1885,-29
2026-06-24,group,C,MA,HT,4,2,US,True,1866,1528,11
2026-06-24,group,A,MX,CZ,3,0,,False,1896,1696,16
2026-06-24,group,A,ZA,KR,1,0,MX,True,1528,1771,48
2026-06-25,group,D,AU,PY,0,0,US,True,1798,1815,1
2026-06-25,group,E,CI,CW,2,0,US,True,1729,1453,15
2026-06-25,group,E,EC,DE,2,1,US,True,1864,1954,38
2026-06-25,group,F,JP,SE,1,1,US,True,1925,1727,-15
2026-06-25,group,F,NL,TN,3,1,US,True,1971,1570,8
2026-06-25,group,D,US,TR,2,3,,False,1820,1813,-39
2026-06-26,group,G,BE,NZ,5,1,CA,True,1868,1549,15
2026-06-26,group,H,CV,SA,0,0,US,True,1625,1593,-3
2026-06-26,group,G,EG,IR,1,1,US,True,1740,1766,2
2026-06-26,group,H,ES,UY,1,0,MX,True,2134,1851,10
2026-06-26,group,I,FR,NO,4,1,US,True,2091,1951,32
2026-06-26,group,I,SN,IQ,5,0,CA,True,1817,1586,25
2026-06-27,group,J,AR,JO,3,1,US,True,2144,1632,4
2026-06-27,group,K,CD,UZ,3,1,US,True,1666,1677,46
2026-06-27,group,K,CO,PT,0,0,US,True,2006,1988,-2
2026-06-27,group,J,DZ,AT,3,3,US,True,1780,1841,5
2026-06-27,group,L,EN,PA,2,0,US,True,2028,1668,10
2026-06-27,group,L,HR,GH,2,1,US,True,1895,1585,9
2026-06-28,R32,,CA,ZA,1,0,US,True,1748,1576,16
2026-06-29,R32,,BR,JP,2,1,US,True,2009,1910,22
2026-06-29,R32,,DE,PY,1,1,US,True,1916,1814,-9
2026-06-29,R32,,MA,NL,1,1,MX,True,1877,1979,9
2026-06-30,R32,,FR,SE,3,0,US,True,2123,1742,11
2026-06-30,R32,,MX,EC,2,0,,False,1912,1902,31
2026-06-30,R32,,NO,CI,2,1,US,True,1919,1744,16
2026-07-01,R32,,BE,SN,3,2,US,True,1883,1842,26
2026-07-01,R32,,EN,CD,2,1,US,True,2038,1712,8
2026-07-01,R32,,US,BA,2,0,,False,1781,1621,16
2026-07-02,R32,,CH,DZ,2,0,CA,True,1914,1785,29
